id,name
ENSG00000007168,PAFAH1B1
ENSG00000006695,COX10
ENSG00000008294,SPAG9
ENSG00000006059,KRT33A
ENSG00000006327,TNFRSF12A
ENSG00000006704,GTF2IRD1
ENSG00000009790,TRAF3IP3
ENSG00000006788,MYH13
ENSG00000006125,AP2B1
ENSG00000011426,ANLN
ENSG00000007516,BAIAP3
ENSG00000008382,MPND
ENSG00000005700,IBTK
ENSG00000006432,MAP3K9
ENSG00000006740,ARHGAP44
ENSG00000006062,MAP3K14
ENSG00000006453,BAIAP2L1
ENSG00000006283,CACNA1G
ENSG00000013375,PGM3
ENSG00000006007,GDE1
ENSG00000006576,PHTF2
ENSG00000006194,ZNF263
ENSG00000006606,CCL26
ENSG00000007062,PROM1
ENSG00000007038,PRSS21
ENSG00000006747,SCIN
ENSG00000007202,KIAA0100
ENSG00000018189,RUFY3
ENSG00000006607,FARP2
ENSG00000008323,PLEKHG6
ENSG00000007216,SLC13A2
ENSG00000007520,TSR3
ENSG00000011451,WIZ
ENSG00000018280,SLC11A1
ENSG00000006837,CDKL3
ENSG00000007384,RHBDF1
ENSG00000006715,VPS41
ENSG00000009413,REV3L
ENSG00000006042,TMEM98
ENSG00000012211,PRICKLE3
ENSG00000007080,CCDC124
ENSG00000018607,ZNF806
ENSG00000008988,RPS20
ENSG00000006831,ADIPOR2
ENSG00000007933,FMO3
ENSG00000010310,GIPR
ENSG00000009765,IYD
ENSG00000013293,SLC7A14
ENSG00000022567,SLC45A4
ENSG00000009830,POMT2
ENSG00000008056,SYN1
ENSG00000007314,SCN4A
ENSG00000010322,NISCH
ENSG00000006377,DLX6
ENSG00000013297,CLDN11
ENSG00000007264,MATK
ENSG00000028310,BRD9
ENSG00000007372,PAX6
ENSG00000008196,TFAP2B
ENSG00000008277,ADAM22
ENSG00000010818,HIVEP2
ENSG00000013573,DDX11
ENSG00000008300,CELSR3
ENSG00000029363,BCLAF1
ENSG00000006757,PNPLA4
ENSG00000010361,FUZ
ENSG00000008130,NADK
ENSG00000006744,ELAC2
ENSG00000011132,APBA3
ENSG00000011523,CEP68
ENSG00000014164,ZC3H3
ENSG00000034063,name not found
ENSG00000010292,NCAPD2
ENSG00000007968,E2F2
ENSG00000007923,DNAJC11
ENSG00000007908,SELE
ENSG00000011258,MBTD1
ENSG00000008441,NFIX
ENSG00000012061,ERCC1
ENSG00000015592,STMN4
ENSG00000007306,CEACAM7
ENSG00000034152,MAP2K3
ENSG00000008083,JARID2
ENSG00000008226,DLEC1
ENSG00000010327,STAB1
ENSG00000011405,PIK3C2A
ENSG00000008118,CAMK1G
ENSG00000008853,RHOBTB2
ENSG00000008869,HEATR5B
ENSG00000011454,RABGAP1
ENSG00000013288,MAN2B2
ENSG00000008735,MAPK8IP2
ENSG00000041802,LSG1
ENSG00000007255,TRAPPC6A
ENSG00000007171,NOS2
ENSG00000009724,MASP2
ENSG00000009307,CSDE1
ENSG00000013374,NUB1
ENSG00000011243,AKAP8L
ENSG00000020256,ZFP64
ENSG00000009335,UBE3C
ENSG00000008438,PGLYRP1
ENSG00000042304,C2orf83
ENSG00000010610,CD4
ENSG00000010282,HHATL
ENSG00000010030,ETV7
ENSG00000012223,LTF
ENSG00000011304,PTBP1
ENSG00000021826,CPS1
ENSG00000010165,EEF1AKNMT
ENSG00000044090,CUL7
ENSG00000010803,SCMH1
ENSG00000007866,TEAD3
ENSG00000010379,SLC6A13
ENSG00000009954,BAZ1B
ENSG00000014216,CAPN1
ENSG00000011332,DPF1
ENSG00000023734,STRAP
ENSG00000047410,TPR
ENSG00000009950,MLXIPL
ENSG00000007952,NOX1
ENSG00000007392,LUC7L
ENSG00000010295,IFFO1
ENSG00000014914,MTMR11
ENSG00000024422,EHD2
ENSG00000048707,VPS13D
ENSG00000010017,RANBP9
ENSG00000013725,CD6
ENSG00000015133,CCDC88C
ENSG00000020181,ADGRA2
ENSG00000010319,SEMA3G
ENSG00000011638,TMEM159
ENSG00000026036,RTEL1-TNFRSF6B
ENSG00000055609,KMT2C
ENSG00000015285,WAS
ENSG00000021762,OSBPL5
ENSG00000012817,KDM5D
ENSG00000011566,MAP4K3
ENSG00000026751,SLAMF7
ENSG00000010278,CD9
ENSG00000058453,CROCC
ENSG00000008311,AASS
ENSG00000015568,RGPD5
ENSG00000017373,name not found
ENSG00000011295,TTC19
ENSG00000013561,RNF14
ENSG00000017260,ATP2C1
ENSG00000011590,ZBTB32
ENSG00000014919,COX15
ENSG00000013016,EHD3
ENSG00000011485,PPP5C
ENSG00000059122,FLYWCH1
ENSG00000008513,ST3GAL1
ENSG00000009780,FAM76A
ENSG00000017797,RALBP1
ENSG00000011009,LYPLA2
ENSG00000008516,MMP25
ENSG00000025770,NCAPH2
ENSG00000010810,FYN
ENSG00000011143,MKS1
ENSG00000012232,EXTL3
ENSG00000022556,NLRP2
ENSG00000013364,MVP
ENSG00000060069,CTDP1
ENSG00000011083,SLC6A7
ENSG00000012048,BRCA1
ENSG00000011198,ABHD5
ENSG00000028137,TNFRSF1B
ENSG00000015532,XYLT2
ENSG00000019485,PRDM11
ENSG00000011275,RNF216
ENSG00000025796,SEC63
ENSG00000035720,STAP1
ENSG00000060491,OGFR
ENSG00000017483,SLC38A5
ENSG00000012822,CALCOCO1
ENSG00000020922,MRE11
ENSG00000036828,CASR
ENSG00000013810,TACC3
ENSG00000062822,POLD1
ENSG00000011260,UTP18
ENSG00000023572,GLRX2
ENSG00000011376,LARS2
ENSG00000023608,SNAPC1
ENSG00000013306,SLC25A39
ENSG00000015171,ZMYND11
ENSG00000026297,RNASET2
ENSG00000010244,ZNF207
ENSG00000043093,DCUN1D1
ENSG00000014123,UFL1
ENSG00000011114,BTBD7
ENSG00000064692,SNCAIP
ENSG00000038219,BOD1L1
ENSG00000009694,TENM1
ENSG00000011600,TYROBP
ENSG00000023191,RNH1
ENSG00000011021,CLCN6
ENSG00000064932,SBNO2
ENSG00000011105,TSPAN9
ENSG00000028116,VRK2
ENSG00000039139,DNAH5
ENSG00000027075,PRKCH
ENSG00000016490,CLCA1
ENSG00000023228,NDUFS1
ENSG00000048052,HDAC9
ENSG00000015520,NPC1L1
ENSG00000065000,AP3D1
ENSG00000010256,UQCRC1
ENSG00000028277,POU2F2
ENSG00000039600,SOX30
ENSG00000012124,CD22
ENSG00000014257,ACP3
ENSG00000011422,PLAUR
ENSG00000010318,PHF7
ENSG00000031003,FAM13B
ENSG00000023839,ABCC2
ENSG00000049246,PER3
ENSG00000065325,GLP2R
ENSG00000011478,QPCTL
ENSG00000023041,ZDHHC6
ENSG00000032444,PNPLA6
ENSG00000018625,ATP1A2
ENSG00000030066,NUP160
ENSG00000031081,ARHGAP31
ENSG00000049540,ELN
ENSG00000019186,CYP24A1
ENSG00000065361,ERBB3
ENSG00000029534,ANK1
ENSG00000041880,PARP3
ENSG00000033050,ABCF2
ENSG00000033011,ALG1
ENSG00000017427,IGF1
ENSG00000027697,IFNGR1
ENSG00000051341,POLQ
ENSG00000065485,PDIA5
ENSG00000029639,TFB1M
ENSG00000019144,PHLDB1
ENSG00000025434,NR1H3
ENSG00000053524,MCF2L2
ENSG00000065526,SPEN
ENSG00000020577,SAMD4A
ENSG00000012983,MAP4K5
ENSG00000032389,EIPR1
ENSG00000026508,CD44
ENSG00000021852,C8B
ENSG00000035141,FAM136A
ENSG00000053747,LAMA3
ENSG00000012504,NR1H4
ENSG00000067057,PFKP
ENSG00000021488,SLC7A9
ENSG00000011028,MRC2
ENSG00000012171,SEMA3B
ENSG00000010219,DYRK4
ENSG00000046889,PREX2
ENSG00000022840,RNF10
ENSG00000035403,VCL
ENSG00000034533,ASTE1
ENSG00000054793,ATP9A
ENSG00000068793,name not found
ENSG00000016602,CLCA4
ENSG00000021645,NRXN3
ENSG00000014138,POLA2
ENSG00000027644,INSRR
ENSG00000012779,ALOX5
ENSG00000018699,TTC27
ENSG00000019169,MARCO
ENSG00000024526,DEPDC1
ENSG00000035664,DAPK2
ENSG00000013503,POLR3B
ENSG00000025708,TYMP
ENSG00000023697,DERA
ENSG00000069018,TRPC7
ENSG00000020426,MNAT1
ENSG00000048342,CC2D2A
ENSG00000035928,RFC1
ENSG00000025156,HSF2
ENSG00000035681,NSMAF
ENSG00000016864,GLT8D1
ENSG00000032742,IFT88
ENSG00000056661,name not found
ENSG00000023902,PLEKHO1
ENSG00000069188,SDK2
ENSG00000013588,GPRC5A
ENSG00000015475,BID
ENSG00000048471,SNX29
ENSG00000037757,MRI1
ENSG00000036448,MYOM2
ENSG00000035687,ADSS2
ENSG00000025423,HSD17B6
ENSG00000069696,DRD4
ENSG00000023171,GRAMD1B
ENSG00000031823,RANBP3
ENSG00000038358,EDC4
ENSG00000027001,MIPEP
ENSG00000036565,SLC18A1
ENSG00000037280,FLT4
ENSG00000033327,GAB2
ENSG00000062038,CDH3
ENSG00000070366,SMG6
ENSG00000023892,DEF6
ENSG00000011347,SYT7
ENSG00000049618,ARID1B
ENSG00000038210,PI4K2B
ENSG00000037897,METTL1
ENSG00000038382,TRIO
ENSG00000025772,TOMM34
ENSG00000071626,DAZAP1
ENSG00000022976,ZNF839
ENSG00000040275,SPDL1
ENSG00000050555,LAMC3
ENSG00000042813,ZPBP
ENSG00000019102,VSIG2
ENSG00000019549,SNAI2
ENSG00000063015,SEZ6
ENSG00000072274,TFRC
ENSG00000027869,SH2D2A
ENSG00000013275,PSMC4
ENSG00000033100,CHPF2
ENSG00000051382,PIK3CB
ENSG00000023287,RB1CC1
ENSG00000042980,ADAM28
ENSG00000039319,ZFYVE16
ENSG00000029725,RABEP1
ENSG00000038532,CLEC16A
ENSG00000018236,CNTN1
ENSG00000063241,ISOC2
ENSG00000072682,P4HA2
ENSG00000033122,LRRC7
ENSG00000042062,RIPOR3
ENSG00000052126,PLEKHA5
ENSG00000025039,RRAGD
ENSG00000040633,PHF23
ENSG00000040933,INPP4A
ENSG00000044524,EPHA3
ENSG00000064225,ST3GAL6
ENSG00000073849,ST6GAL1
ENSG00000016391,CHDH
ENSG00000034053,APBA2
ENSG00000020129,NCDN
ENSG00000052344,PRSS8
ENSG00000025293,PHF20
ENSG00000064419,TNPO3
ENSG00000074071,MRPS34
ENSG00000023445,BIRC3
ENSG00000028203,VEZT
ENSG00000041515,MYO16
ENSG00000054654,SYNE2
ENSG00000047457,CP
ENSG00000027847,B4GALT7
ENSG00000047578,KATNIP
ENSG00000064687,ABCA7
ENSG00000033178,UBA6
ENSG00000074181,NOTCH3
ENSG00000013583,HEBP1
ENSG00000047662,FAM184B
ENSG00000037042,TUBG2
ENSG00000038945,MSR1
ENSG00000075340,ADD2
ENSG00000031698,SARS1
ENSG00000026950,BTN3A1
ENSG00000018869,ZNF582
ENSG00000047849,MAP4
ENSG00000042832,TG
ENSG00000048828,FAM120A
ENSG00000024048,UBR2
ENSG00000038427,VCAN
ENSG00000037749,MFAP3
ENSG00000075856,SART3
ENSG00000036530,CYP46A1
ENSG00000049089,COL9A2
ENSG00000039068,CDH1
ENSG00000048392,RRM2B
ENSG00000040531,CTNS
ENSG00000077063,CTTNBP2
ENSG00000029153,ARNTL2
ENSG00000014824,SLC30A9
ENSG00000050748,MAPK9
ENSG00000044574,HSPA5
ENSG00000039123,MTREX
ENSG00000048140,TSPAN17
ENSG00000050344,NFE2L3
ENSG00000050426,LETMD1
ENSG00000077800,FKBP6
ENSG00000020633,RUNX3
ENSG00000051009,FAM160A2
ENSG00000051523,CYBA
ENSG00000048545,GUCA1A
ENSG00000050393,MCUR1
ENSG00000054392,HHAT
ENSG00000042088,TDP1
ENSG00000065534,MYLK
ENSG00000078814,MYH7B
ENSG00000033627,ATP6V0A1
ENSG00000051825,MPHOSPH9
ENSG00000019582,CD74
ENSG00000060566,CREB3L3
ENSG00000052795,FNIP2
ENSG00000025800,KPNA6
ENSG00000043514,TRIT1
ENSG00000026103,FAS
ENSG00000054983,GALC
ENSG00000042317,SPATA7
ENSG00000065717,TLE2
ENSG00000039523,RIPOR1
ENSG00000030582,GRN
ENSG00000079102,RUNX1T1
ENSG00000053918,KCNQ1
ENSG00000047617,ANO2
ENSG00000052850,ALX4
ENSG00000066427,ATXN3
ENSG00000079931,MOXD1
ENSG00000016402,IL20RA
ENSG00000054118,THRAP3
ENSG00000064489,BORCS8-MEF2B
ENSG00000046604,DSG2
ENSG00000053108,FSTL4
ENSG00000055813,CCDC85A
ENSG00000026652,AGPAT4
ENSG00000055955,ITIH4
ENSG00000057704,TMCC3
ENSG00000049759,NEDD4L
ENSG00000066923,STAG3
ENSG00000081842,PCDHA6
ENSG00000044459,CNTLN
ENSG00000054356,PTPRN
ENSG00000064490,RFXANK
ENSG00000054148,PHPT1
ENSG00000047644,WWC3
ENSG00000055950,MRPL43
ENSG00000038002,AGA
ENSG00000058272,PPP1R12A
ENSG00000050130,JKAMP
ENSG00000067365,METTL22
ENSG00000033030,ZCCHC8
ENSG00000081853,PCDHGA2
ENSG00000047315,POLR2B
ENSG00000039987,BEST2
ENSG00000065268,WDR18
ENSG00000054179,ENTPD2
ENSG00000057019,DCBLD2
ENSG00000030304,MUSK
ENSG00000047579,DTNBP1
ENSG00000042781,USH2A
ENSG00000082293,COL19A1
ENSG00000058085,LAMC2
ENSG00000049245,VAMP3
ENSG00000058335,RASGRF1
ENSG00000039650,PNKP
ENSG00000059573,ALDH18A1
ENSG00000051620,HEBP2
ENSG00000043462,LCP2
ENSG00000082512,TRAF5
ENSG00000035862,TIMP2
ENSG00000055957,ITIH1
ENSG00000058866,DGKG
ENSG00000060709,RIMBP2
ENSG00000083097,DOP1A
ENSG00000019991,HGF
ENSG00000049656,CLPTM1L
ENSG00000060982,BCAT1
ENSG00000054282,SDCCAG8
ENSG00000070047,PHRF1
ENSG00000044115,CTNNA1
ENSG00000084234,APLP2
ENSG00000038295,TLL1
ENSG00000021776,AQR
ENSG00000048028,USP28
ENSG00000059377,TBXAS1
ENSG00000047346,FAM214A
ENSG00000050767,COL23A1
ENSG00000063177,RPL18
ENSG00000032219,ARID4A
ENSG00000061936,SFSWAP
ENSG00000070061,ELP1
ENSG00000084674,APOB
ENSG00000040731,CDH10
ENSG00000040199,PHLPP2
ENSG00000059769,DNAJC25
ENSG00000034677,RNF19A
ENSG00000066827,ZFAT
ENSG00000063854,HAGH
ENSG00000055118,KCNH2
ENSG00000070159,PTPN3
ENSG00000038274,MAT2B
ENSG00000085185,BCORL1
ENSG00000041982,TNC
ENSG00000053501,USE1
ENSG00000060339,CCAR1
ENSG00000064201,TSPAN32
ENSG00000070182,SPTB
ENSG00000049283,EPN3
ENSG00000085276,MECOM
ENSG00000067560,RHOA
ENSG00000061918,GUCY1B1
ENSG00000064195,DLX3
ENSG00000064309,CDON
ENSG00000063245,EPN1
ENSG00000049541,RFC2
ENSG00000086205,FOLH1
ENSG00000049323,LTBP1
ENSG00000064012,CASP8
ENSG00000047932,GOPC
ENSG00000067900,ROCK1
ENSG00000054267,ARID4B
ENSG00000064886,CHI3L2
ENSG00000070444,MNT
ENSG00000087365,SF3B2
ENSG00000068724,TTC7A
ENSG00000037474,NSUN2
ENSG00000042445,RETSAT
ENSG00000088205,DDX18
ENSG00000050165,DKK3
ENSG00000035115,SH3YL1
ENSG00000069020,MAST4
ENSG00000063046,EIF4B
ENSG00000048162,NOP16
ENSG00000071894,CPSF1
ENSG00000052749,RRP12
ENSG00000088881,EBF4
ENSG00000044446,PHKA2
ENSG00000056050,HPF1
ENSG00000063660,GPC1
ENSG00000057294,PKP2
ENSG00000065427,KARS1
ENSG00000059915,PSD
ENSG00000064545,TMEM161A
ENSG00000072657,TRHDE
ENSG00000050327,ARHGEF5
ENSG00000089195,TRMT6
ENSG00000050820,BCAR1
ENSG00000047648,ARHGAP6
ENSG00000064961,HMG20B
ENSG00000057252,SOAT1
ENSG00000069431,ABCC9
ENSG00000064726,BTBD1
ENSG00000065357,DGKA
ENSG00000060558,GNA15
ENSG00000073146,MOV10L1
ENSG00000047188,YTHDC2
ENSG00000089597,GANAB
ENSG00000051128,HOMER3
ENSG00000040608,RTN4R
ENSG00000059145,UNKL
ENSG00000069712,name not found
ENSG00000043143,JADE2
ENSG00000065054,SLC9A3R2
ENSG00000060656,PTPRU
ENSG00000073331,ALPK1
ENSG00000090615,GOLGA3
ENSG00000047936,ROS1
ENSG00000054967,RELT
ENSG00000065150,IPO5
ENSG00000060237,WNK1
ENSG00000065978,YBX1
ENSG00000065057,NTHL1
ENSG00000067113,PLPP1
ENSG00000073578,SDHA
ENSG00000049319,name not found
ENSG00000090920,name not found
ENSG00000060971,ACAA1
ENSG00000066185,ZMYND12
ENSG00000063438,AHRR
ENSG00000065615,CYB5R4
ENSG00000037241,RPL26L1
ENSG00000073670,ADAM11
ENSG00000050030,NEXMIF
ENSG00000091106,NLRC4
ENSG00000049130,KITLG
ENSG00000055483,USP36
ENSG00000061273,HDAC7
ENSG00000066294,CD84
ENSG00000063601,MTMR1
ENSG00000043355,ZIC2
ENSG00000066735,KIF26A
ENSG00000068079,IFI35
ENSG00000047365,ARAP2
ENSG00000091536,MYO15A
ENSG00000062716,VMP1
ENSG00000064102,INTS13
ENSG00000041988,THAP3
ENSG00000037637,FBXO42
ENSG00000074219,TEAD2
ENSG00000092096,SLC22A17
ENSG00000050438,SLC4A8
ENSG00000040487,SLC66A1
ENSG00000046653,GPM6B
ENSG00000071537,SEL1L
ENSG00000046651,OFD1
ENSG00000067596,DHX8
ENSG00000065183,WDR3
ENSG00000067715,SYT1
ENSG00000074276,CDHR2
ENSG00000092199,HNRNPC
ENSG00000050730,TNIP3
ENSG00000065833,ME1
ENSG00000054523,KIF1B
ENSG00000068024,HDAC4
ENSG00000058056,USP13
ENSG00000092529,CAPN3
ENSG00000056998,GYG2
ENSG00000072071,ADGRL1
ENSG00000047621,C12orf4
ENSG00000065618,COL17A1
ENSG00000054611,TBC1D22A
ENSG00000068078,FGFR3
ENSG00000092758,COL9A3
ENSG00000042286,AIFM2
ENSG00000064313,TAF2
ENSG00000072609,CHFR
ENSG00000066468,FGFR2
ENSG00000064607,SUGP2
ENSG00000065970,FOXJ2
ENSG00000054690,PLEKHH1
ENSG00000070756,PABPC1
ENSG00000078674,PCM1
ENSG00000058668,ATP2B4
ENSG00000092853,CLSPN
ENSG00000060718,COL11A1
ENSG00000064666,CNN2
ENSG00000070371,CLTCL1
ENSG00000071054,MAP4K4
ENSG00000078747,ITCH
ENSG00000054598,FOXC1
ENSG00000092931,MFSD11
ENSG00000059378,PARP12
ENSG00000043039,BARX2
ENSG00000068028,RASSF1
ENSG00000072736,NFATC3
ENSG00000070601,FRMPD1
ENSG00000068831,RASGRP2
ENSG00000059588,TARBP1
ENSG00000095066,HOOK2
ENSG00000073008,PVR
ENSG00000070610,GBA2
ENSG00000066056,TIE1
ENSG00000069399,BCL3
ENSG00000073169,SELENOO
ENSG00000079337,RAPGEF3
ENSG00000095203,EPB41L4B
ENSG00000062485,CS
ENSG00000036549,ZZZ3
ENSG00000069764,PLA2G10
ENSG00000060140,STYK1
ENSG00000073282,TP63
ENSG00000049247,UTS2
ENSG00000067829,IDH3G
ENSG00000070731,ST6GALNAC2
ENSG00000056586,RC3H2
ENSG00000065882,TBC1D1
ENSG00000079393,DUSP13
ENSG00000064205,CCN5
ENSG00000095380,NANS
ENSG00000048991,R3HDM1
ENSG00000068781,STON1-GTF2A1L
ENSG00000070748,CHAT
ENSG00000066777,ARFGEF1
ENSG00000067225,PKM
ENSG00000053702,NRIP2
ENSG00000070413,DGCR2
ENSG00000079432,CIC
ENSG00000095917,TPSD1
ENSG00000063761,ADCK1
ENSG00000070190,DAPP1
ENSG00000049769,PPP1R3F
ENSG00000066855,MTFR1
ENSG00000066455,GOLGA5
ENSG00000080644,CHRNA3
ENSG00000057593,F7
ENSG00000064270,ATP2C2
ENSG00000095951,HIVEP1
ENSG00000056972,TRAF3IP2
ENSG00000062096,ARSF
ENSG00000065328,MCM10
ENSG00000068796,KIF2A
ENSG00000070814,TCOF1
ENSG00000067141,NEO1
ENSG00000067798,NAV3
ENSG00000074416,MGLL
ENSG00000066629,EML1
ENSG00000081237,PTPRC
ENSG00000096696,DSP
ENSG00000070423,RNF126
ENSG00000070985,TRPM5
ENSG00000067191,CACNB1
ENSG00000067840,PDZD4
ENSG00000058673,ZC3H11A
ENSG00000074582,BCS1L
ENSG00000081248,CACNA1S
ENSG00000055147,FAM114A2
ENSG00000099821,POLRMT
ENSG00000074855,ANO8
ENSG00000066084,DIP2B
ENSG00000071859,FAM50A
ENSG00000067334,DNTTIP2
ENSG00000050405,LIMA1
ENSG00000072134,EPN2
ENSG00000075043,KCNQ2
ENSG00000081818,PCDHB4
ENSG00000061938,TNK2
ENSG00000055163,CYFIP2
ENSG00000099840,IZUMO4
ENSG00000063515,GSC2
ENSG00000054219,LY75
ENSG00000066135,KDM4A
ENSG00000068354,TBC1D25
ENSG00000072195,SPEG
ENSG00000075142,SRI
ENSG00000067048,DDX3Y
ENSG00000065457,ADAT1
ENSG00000099866,MADCAM1
ENSG00000051596,THOC3
ENSG00000071564,TCF3
ENSG00000065675,PRKCQ
ENSG00000053254,FOXN3
ENSG00000075914,EXOSC7
ENSG00000066230,SLC9A3
ENSG00000072080,SPP2
ENSG00000068137,PLEKHH3
ENSG00000072210,ALDH3A2
ENSG00000099910,KLHL22
ENSG00000066739,ATG2B
ENSG00000066117,SMARCD1
ENSG00000076344,RGS11
ENSG00000072121,ZFYVE26
ENSG00000059691,GATB
ENSG00000072518,MARK2
ENSG00000049192,ADAMTS6
ENSG00000082556,OPRK1
ENSG00000064115,TM7SF3
ENSG00000099949,LZTR1
ENSG00000064999,ANKS1A
ENSG00000051180,RAD51
ENSG00000066248,NGEF
ENSG00000076356,PLXNA2
ENSG00000066933,MYO9A
ENSG00000072163,LIMS2
ENSG00000070018,LRP6
ENSG00000058804,NDC1
ENSG00000049239,H6PD
ENSG00000077935,SMC1B
ENSG00000082641,NFE2L1
ENSG00000063244,U2AF2
ENSG00000059758,CDK17
ENSG00000065613,SLK
ENSG00000099954,CECR2
ENSG00000054938,CHRDL2
ENSG00000071909,MYO3B
ENSG00000077463,SIRT6
ENSG00000070031,SCT
ENSG00000078043,PIAS2
ENSG00000083067,TRPM3
ENSG00000100023,PPIL2
ENSG00000051108,HERPUD1
ENSG00000072041,SLC6A15
ENSG00000065413,ANKRD44
ENSG00000066382,MPPED2
ENSG00000100218,RSPH14
ENSG00000078070,MCCC1
ENSG00000072422,RHOBTB1
ENSG00000072818,ACAP1
ENSG00000070214,SLC44A1
ENSG00000062282,DGAT2
ENSG00000078795,PKD2L2
ENSG00000085465,OVGP1
ENSG00000100220,RTCB
ENSG00000065060,UHRF1BP1
ENSG00000072840,EVC
ENSG00000070778,PTPN21
ENSG00000078808,SDF4
ENSG00000085871,MGST2
ENSG00000100239,PPP6R2
ENSG00000064199,SPA17
ENSG00000068885,IFT80
ENSG00000078902,TOLLIP
ENSG00000063169,BICRA
ENSG00000079616,KIF22
ENSG00000088808,PPP1R13B
ENSG00000064042,LIMCH1
ENSG00000100311,PDGFB
ENSG00000057657,PRDM1
ENSG00000063176,SPHK2
ENSG00000079841,RIMS1
ENSG00000088836,SLC4A11
ENSG00000064547,LPAR2
ENSG00000100344,PNPLA3
ENSG00000055332,EIF2AK2
ENSG00000069345,DNAJA2
ENSG00000058404,CAMK2B
ENSG00000079246,XRCC5
ENSG00000069424,KCNAB2
ENSG00000073417,PDE8A
ENSG00000072062,PRKACA
ENSG00000064652,SNX24
ENSG00000069998,HDHD5
ENSG00000088926,F11
ENSG00000065491,TBC1D22B
ENSG00000100345,MYH9
ENSG00000063587,ZNF275
ENSG00000079263,SP140
ENSG00000072182,ASIC4
ENSG00000074356,NCBP3
ENSG00000080166,DCT
ENSG00000089063,TMEM230
ENSG00000064300,NGFR
ENSG00000069849,ATP1B3
ENSG00000100376,FAM118A
ENSG00000069869,NEDD4
ENSG00000060138,YBX3
ENSG00000079308,TNS1
ENSG00000061987,MON2
ENSG00000070087,PFN2
ENSG00000061455,PRDM6
ENSG00000080618,CPB2
ENSG00000089094,KDM2B
ENSG00000100427,MLC1
ENSG00000056736,IL17RB
ENSG00000074803,SLC12A1
ENSG00000058063,ATP11B
ENSG00000080031,PTPRH
ENSG00000072501,SMC1A
ENSG00000074657,ZNF532
ENSG00000081026,MAGI3
ENSG00000089177,KIF16B
ENSG00000100441,KHNYN
ENSG00000065621,GSTO2
ENSG00000075218,GTSE1
ENSG00000068654,POLR1A
ENSG00000080819,CPOX
